dTrue	dFalse	qualité_test	qualité_train
0.50406617	0.5009277	0.36391228	
0.5446732	0.5132591	0.37566432	
0.57711315	0.5223906	0.37455624	
0.6279902	0.53676534	0.37121537	
0.67391527	0.549369	0.37377658	
0.6882938	0.5504081	0.37525076	
0.704005	0.55176014	0.37607184	
0.7202817	0.5528966	0.3771767	
0.7305432	0.5517361	0.3777273	
0.738876	0.55016124	0.3768047	
0.748097	0.54841256	0.37641594	
0.8184975	0.52053165	0.37909612	
0.8376088	0.51666474	0.3851353	
0.8222825	0.51104283	0.38034832	
0.8369179	0.5116431	0.37088403	
0.8391237	0.5098869	0.37063387	
0.8366664	0.5079631	0.37016058	
0.84139246	0.50745046	0.366929	
0.841895	0.5061065	0.36493176	
0.84546	0.5048707	0.36535642	
0.8417622	0.5026165	0.36541313	
0.9758251	0.5255542	0.384151	
0.8342816	0.49834362	0.36508456	
0.8523769	0.49731013	0.3558446	
0.86755085	0.49826598	0.35883623	
0.86617917	0.4964872	0.3639941	
0.85916823	0.49407396	0.36040428	
0.8608027	0.4919588	0.35863832	
0.8628865	0.48963583	0.35852927	
0.8626586	0.48627508	0.35884097	
0.8591002	0.48229042	0.35930818	
0.94625247	0.4645385	0.35569525	
0.7854847	0.44320107	0.3588547	
0.85215306	0.4685968	0.35929623	
0.87277365	0.47736442	0.35915095	
0.87104094	0.47879177	0.36801872	
0.85757285	0.47872296	0.36558497	
0.85287434	0.47846264	0.36799303	
0.8538067	0.47794318	0.36983392	
0.8565516	0.47738796	0.36734492	
0.859207	0.47626606	0.36718723	
0.87293434	0.4585452	0.33677682	
0.8651751	0.45433488	0.34241354	
0.86043566	0.45009843	0.33619404	
0.8646601	0.4456197	0.33883354	
0.8681117	0.44023386	0.3425495	
0.8657029	0.4342436	0.3433665	
0.8680564	0.42906985	0.34364992	
0.8692509	0.42312592	0.34360617	
0.86528873	0.41671953	0.34230283	
0.8745986	0.41370565	0.34521157	
0.6966253	0.33074072	0.35885873	
